session,pool
20160323-1400,craigslist
20160324-1400,craigslist
20160324-1600,craigslist
20160325-1400,craigslist
20160325-1800,craigslist
20160328-1400,xlab
20160328-1600,xlab
20160330-1600,craigslist
20160330-1800,craigslist
