session,seat,userid,env,version,runid,good,comment
20160330-1600,X14,23,E1,OLD,20160330-161456,T,
20160330-1600,X16,66,E2,OLD,20160330-161459,T,
20160330-1600,X17,77,E3,NEW,20160330-161437,T,
20160330-1600,X18,123,E3,NEW,20160330-170145,F,"missing video, shut down before we could investigate. filename has E3-NEW-X18 but X18 should have OLD instead."
20160330-1600,X20,22,E1,OLD,20160330-161448,T,
20160330-1800,X04,74,E2,OLD,20160330-181928,T,
20160330-1800,X06,109,E3,OLD,20160330-181926,T,
20160330-1800,X10,62,E2,OLD,20160330-181958,T,
20160330-1800,X12,112,E3,OLD,20160330-182011,T,
20160331-1600,X04,59,E2,OLD,20160331-153002,T,
20160331-1600,X10,76,E2,OLD,20160331-153028,T,
20160331-1600,X12,113,E3,OLD,20160331-153055,T,
20160331-1600,X16,67,E2,OLD,20160331-153111,T,
20160331-1800,X03,54,E2,NEW,20160331-174710,T,
20160331-1800,X05,80,E3,NEW,20160331-174656,T,
20160331-1800,X06,110,E3,OLD,20160331-174650,T,
20160331-1800,X11,92,E3,NEW,20160331-174655,T,
